t,Symbol(beta),Symbol(betaD),Symbol(theta),Symbol(thetaD),Symbol(theta_m),Symbol(beta_c),
0,0,0,0,0.1,0.1,-0.1,
0.01,0,-6.4,0.001,0.1,0.10101,-0.10101,
0.02,-0.064,-5.69664,0.002,0.1,0.10202,-0.10202,
0.03,-0.1209664,-1.7496831999999998,0.003,0.09360436817196907,0.10303000000000001,-0.10303000000000001,
0.04,-0.138463232,1.3578915839999999,0.00393604368171969,0.08153720802157695,0.1039754041185369,-0.1039754041185369,
0.05,-0.12488431616,2.0442739943336377,0.00475141576193546,0.06773508620050094,0.10479892991955482,-0.10479892991955482,
0.06,-0.10444157621666361,1.0401518400684544,0.005428766623940469,0.05527909106899552,0.10548305429017987,-0.10548305429017987,
0.07,-0.09404005781597907,-0.1914728175132545,0.005981557534630424,0.04485391064729821,0.10604137310997673,-0.10604137310997673,
0.08,-0.09595478599111162,-0.7451074407142595,0.006430096641103406,0.035463759509833985,0.10649439760751445,-0.10649439760751445,
0.09,-0.10340586039825422,-0.5851222505640697,0.006784734236201746,0.025882998908617963,0.10685258157856377,-0.10685258157856377,
0.1,-0.10925708290389492,-0.15037548547212165,0.007043564225287926,0.015560831273595088,0.1071139998675408,-0.1071139998675408,
0.11,-0.11076083775861614,0.15520237258331765,0.0071991725380238765,0.004656846910353733,0.10727116426340412,-0.10727116426340412,
0.12,-0.10920881403278297,0.20471481898357075,0.007245741007127414,-0.006396603921650274,0.1073181984171987,-0.1073181984171987,
0.13,-0.10716166584294727,0.09643362111936594,0.007181774967910911,-0.017295790165974233,0.10725359271759002,-0.10725359271759002,
0.14,-0.10619732963175361,-0.01745535451145959,0.007008817066251169,-0.02799145845470176,0.10707890523691369,-0.10707890523691369,
0.15,-0.10637188317686821,-0.054326196188869746,0.0067289024817041515,-0.03859124133796536,0.1067961915065212,-0.1067961915065212,
0.16,-0.10691514513875691,-0.020636589555126372,0.006342990068324498,-0.04920838107700774,0.10640641996900775,-0.10640641996900775,
0.17,-0.10712151103430817,0.03503480161056156,0.00585090625755442,-0.0598795383826956,0.10590941532012997,-0.10590941532012997,
0.18,-0.10677116301820255,0.07336994951413746,0.005252110873727464,-0.0705712142160153,0.10530463198246474,-0.10530463198246474,
0.19,-0.10603746352306118,0.08505359234552351,0.00454639873156731,-0.08122805541261573,0.10459186271888299,-0.10459186271888299,
0.2,-0.10518692759960595,0.08231202038594099,0.003734118177441153,-0.09181194161241886,0.10377145935921557,-0.10377145935921557,
0.21,-0.10436380739574654,0.0807125249386713,0.0028159987613169644,-0.10231124812284868,0.10284415874893015,-0.10284415874893015,
0.22,-0.10355668214635982,0.08757201040360879,0.0017928862800884776,-0.11272869400767628,0.10181081514288937,-0.10181081514288937,
0.23,-0.10268096204232374,0.10122684697367627,0.0006655993400117148,-0.12306586313675012,0.10067225533341184,-0.10067225533341184,
